row_id,date,continent_code,country_name,country_code,state_province,population,city_town,distance,latitude,longitude,hazard_type,landslide_type,landslide_size,trigger
7461,2015-09-24,NA,Honduras,HN,Copán,1452,Lucerna,5.89721,14.6,-88.9144,Landslide,Landslide,small,Rain
7462,2015-09-25,NA,Honduras,HN,Ocotepeque,1416,La Labor,5.79867,14.481,-89.0537,Landslide,Landslide,small,Rain
7463,2015-06-13,NA,Honduras,HN,Francisco Morazán ,2295,Villa Nueva,2.0083,14.0468,-87.1528,Landslide,Rockfall,medium,Rain
7464,2015-09-28,NA,Honduras,HN,Santa Bárbara,1811,Ilama,2.87349,15.0909,-88.2072,Landslide,Rockfall,small,Rain
7465,2015-05-13,NA,Mexico,MX,Guerrero,652136,Acapulco de Juárez,7.07138,16.8989,-99.9452,Landslide,Landslide,medium,Construction
7466,2015-10-21,NA,Honduras,HN,Francisco Morazán ,1817,El Guapinol,3.54399,13.7645,-87.434,Landslide,Rockfall,medium,Unknown
7467,2015-01-22,NA,Honduras,HN,Yoro,2188,La Sarrosa,6.66574,15.1754,-87.8164,Landslide,Rockfall,small,Continuous rain
7468,2015-06-13,NA,Honduras,HN,Francisco Morazán ,1121,El Tablón ,3.12986,14.0592,-87.155,Landslide,Landslide,medium,Downpour
7469,2015-12-16,NA,Mexico,MX,Tabasco,1732,Olcuatitán,8.93271,18.2341,-92.8901,Landslide,Riverbank collapse,medium,Flooding
7471,2016-02-19,NA,Nicaragua,NI,Jinotega,51073,Jinotega,2.4488,13.0805,-85.9925,Landslide,Landslide,small,Rain
7475,2015-09-27,NA,Nicaragua,NI,Madriz,1257,Las Sabanas,7.21108,13.4058,-86.6122,Landslide,Landslide,medium,Downpour
7476,2015-09-27,NA,Nicaragua,NI,Madriz,1257,Las Sabanas,4.86364,13.3864,-86.6146,Landslide,Landslide,medium,Rain
7480,2015-07-23,NA,Nicaragua,NI,Ogun State,16056,Siuna,1.68056,13.7484,-84.778,Landslide,Landslide,medium,Rain
7481,2015-05-13,NA,Nicaragua,NI,Masaya,2111,San Juan de Oriente,1.5673,11.9013,-86.06,Landslide,Debris flow,large,Rain
7482,2015-09-28,NA,Honduras,HN,Francisco Morazán ,850848,Tegucigalpa,0.91552,14.0737,-87.2087,Landslide,Landslide,small,Downpour
7483,2015-09-28,NA,Honduras,HN,Francisco Morazán ,1449,Yaguacire,1.30583,14.0211,-87.2055,Landslide,Landslide,medium,Downpour
7485,2015-09-20,NA,Honduras,HN,Francisco Morazán ,850848,Tegucigalpa,2.91326,14.1003,-87.226,Landslide,Riverbank collapse,small,Flooding
7486,2015-10-27,NA,Costa Rica,CR,Alajuela,5745,Santo Domingo,3.21979,10.06,-84.1841,Landslide,Mudslide,small,Rain
7487,2015-11-18,NA,Costa Rica,CR,Alajuela,47494,Alajuela,3.08916,10.0442,-84.2106,Landslide,Landslide,small,Unknown
7488,2015-10-29,NA,Costa Rica,CR,Alajuela,11853,Naranjo,2.08469,10.114,-84.3892,Landslide,Landslide,medium,Downpour
7489,2015-06-21,NA,Panama,PA,Bocas del Toro,993,Punta Peña,0.29869,8.907,-82.1867,Landslide,Landslide,small,Rain
7490,2015-10-15,NA,Costa Rica,CR,Cartago,4060,,5.15142,9.7917,-83.9815,Landslide,Landslide,medium,Downpour
7491,2015-03-20,NA,Costa Rica,CR,Cartago,6784,Cot,9.53493,9.9786,-83.8542,Landslide,Other,medium,Volcano
7492,2015-03-18,NA,Costa Rica,CR,Cartago,26594,Cartago,2.94804,9.8815,-83.9401,Landslide,Landslide,medium,Downpour
7493,2015-11-23,NA,Costa Rica,CR,Puntarenas,11680,Buenos Aires,0.35225,9.1464,-83.3268,Landslide,Landslide,small,Unknown
